matfma 4 10 0.000018 0.005041 0.002451 0.001774
matfma 4 12 0.000018 0.001209 0.000449 0.000317
matfma 4 14 0.000012 0.000225 0.000081 0.000066
matfma 4 16 0.000009 0.000055 0.000025 0.000013
matfma 4 4 0.000018 0.194478 0.070288 0.056832
matfma 4 6 0.004417 0.063849 0.027772 0.022274
matfma 4 8 0.000018 0.022930 0.008318 0.006199
matfma 8 10 0.000094 0.020336 0.005063 0.003857
matfma 8 12 0.000010 0.004476 0.001489 0.001130
matfma 8 14 0.000010 0.001019 0.000347 0.000221
matfma 8 16 0.000001 0.000241 0.000073 0.000051
matfma 8 4 0.011628 0.474437 0.161729 0.102799
matfma 8 6 0.002489 0.263550 0.076124 0.062563
matfma 8 8 0.001368 0.064308 0.023595 0.016383
